id,edad,sexo,pais_donde_vive,opinion_big_data
1,64,Masculino,Paraguay,Necesario para decisiones basadas en datos
2,61,Masculino,Paraguay,Puede ser intimidante al principio
3,62,Femenino,Brasil,Puede ser usado para mejorar la sociedad
4,56,Femenino,Paraguay,Permite a las empresas ser más competitivas
5,57,Femenino,Chile,Es esencial para entender grandes volúmenes de información
6,39,Masculino,Chile,Fundamental para el desarrollo de IA
7,46,Femenino,Paraguay,Genera nuevas profesiones y oportunidades
8,43,Masculino,Uruguay,Necesita mejor regulación en privacidad de datos
9,63,Femenino,Chile,Facilita la visualización de complejas redes de datos
10,20,Femenino,Argentina,Puede ser abrumador pero es fundamental
11,40,Masculino,Argentina,Puede ser usado para mejorar la sociedad
12,53,Masculino,Uruguay,Fundamental para el desarrollo de IA
13,59,Femenino,Paraguay,Espero que democratice el acceso a la información
14,34,Masculino,Brasil,Promete mejoras significativas en automatización
15,51,Masculino,Uruguay,Big Data es revolucionario para los negocios
16,62,Masculino,Chile,Permite a las empresas ser más competitivas
17,47,Masculino,Chile,Necesita mejor regulación en privacidad de datos
18,47,Masculino,Uruguay,Es el futuro del procesamiento de datos
19,51,Femenino,Argentina,Transforma completamente la industria tecnológica
20,39,Femenino,Uruguay,Necesario para decisiones basadas en datos
21,59,Femenino,Argentina,Permite a las empresas ser más competitivas
22,47,Masculino,Uruguay,Genera nuevas profesiones y oportunidades
23,55,Masculino,Paraguay,Permite a las empresas ser más competitivas
24,21,Masculino,Argentina,Debe ser usado responsablemente
25,46,Masculino,Paraguay,Big Data es revolucionario para los negocios
26,48,Femenino,Uruguay,Permite a las empresas ser más competitivas
27,30,Femenino,Argentina,Es esencial para entender grandes volúmenes de información
28,37,Masculino,Brasil,Necesita mejor regulación en privacidad de datos
29,53,Femenino,Argentina,Revitaliza las estrategias de marketing
30,33,Masculino,Chile,Espero que democratice el acceso a la información
31,49,Femenino,Uruguay,Debe ser usado responsablemente
32,21,Femenino,Chile,Fundamental para el desarrollo de IA
33,27,Masculino,Chile,Necesita mejor regulación en privacidad de datos
34,45,Femenino,Argentina,Necesita mejor regulación en privacidad de datos
35,18,Masculino,Paraguay,Fundamental para el desarrollo de IA
36,57,Masculino,Chile,Es el futuro del procesamiento de datos
37,52,Femenino,Paraguay,Debe ser usado responsablemente
38,27,Masculino,Brasil,Transforma completamente la industria tecnológica
39,49,Femenino,Paraguay,Promete mejoras significativas en automatización
40,24,Femenino,Paraguay,Es esencial para entender grandes volúmenes de información
41,39,Masculino,Uruguay,Revitaliza las estrategias de marketing
42,27,Femenino,Argentina,Necesario para decisiones basadas en datos
43,21,Masculino,Argentina,Facilita la visualización de complejas redes de datos
